주소,단지명_공시가격,세대수,사용승인일
인천광역시 미추홀구 주안동 1614,월드스테이트,961,2008-05-28
인천광역시 미추홀구 주안동 1614,월드스테이트,1696,2008-05-28
인천광역시 미추홀구 주안동 1614,월드스테이트,503,2008-05-28
인천광역시 미추홀구 주안동 1621,관교한신휴플러스,1509,2010-07-30
인천광역시 미추홀구 주안동 1628,주안역센트레빌,1458,2021-07-27
인천광역시 미추홀구 주안동 1638,주안역신일해피트리,244,2022-03-28
인천광역시 미추홀구 주안동 1662,주안파크자이더플래티넘,2054,2023-02-24
인천광역시 미추홀구 주안동 1678,힐스테이트푸르지오주안,2958,2023-10-23
인천광역시 미추홀구 주안동 1688,e편한세상주안에듀서밋,386,2024-01-31
인천광역시 미추홀구 주안동 가-,포레나미추홀,864,2022-08-31
인천광역시 미추홀구 관교동 13-3,동아(관교동아),390,1990-10-12
인천광역시 미추홀구 관교동 13-6,삼환1(관교삼환나우빌),352,1992-04-21
인천광역시 미추홀구 관교동 13-7,쌍용,464,1991-07-16
인천광역시 미추홀구 관교동 13-8,풍림,300,1991-02-01
인천광역시 미추홀구 관교동 13-9,성지,420,1991-08-12
인천광역시 미추홀구 관교동 13-10,삼환2(삼환관교2단지),410,1991-11-28
인천광역시 미추홀구 관교동 13-11,동부(관교동부),420,1991-09-19
인천광역시 미추홀구 관교동 508,신비마을,240,1994-03-18
인천광역시 연수구 옥련동 626,럭키송도,1304,1993-04-21
인천광역시 연수구 옥련동 628,현대1,674,1994-06-28
인천광역시 연수구 옥련동 630,백산,307,1994-09-23
인천광역시 연수구 옥련동 631,원흥,359,1994-11-03
인천광역시 연수구 옥련동 632,서해,600,1995-10-24
인천광역시 연수구 옥련동 633,현대2차아파트,1180,1995-12-22
인천광역시 연수구 옥련동 634-1,삼성,612,1996-03-15
인천광역시 연수구 옥련동 635-1,현대3,368,1996-07-20
인천광역시 연수구 옥련동 636-1,우성,498,1996-09-30
인천광역시 연수구 옥련동 637-1,현대4,1011,1997-05-23
인천광역시 연수구 옥련동 638-1,백산2,301,1997-09-30
인천광역시 연수구 옥련동 639-1,현대5,621,1997-06-26
인천광역시 연수구 옥련동 640-1,아주1,384,1997-08-02
인천광역시 연수구 옥련동 641-1,태평,273,1997-11-19
인천광역시 연수구 옥련동 642-1,한국,481,1997-12-31
인천광역시 연수구 옥련동 643-2,풍림,386,1998-03-26
인천광역시 연수구 옥련동 644-1,쌍용,574,1998-08-23
인천광역시 연수구 옥련동 645-1,옥련2우성,255,2002-06-28
인천광역시 연수구 옥련동 647,송도역서해그랑블,215,2024-03-04
인천광역시 연수구 선학동 340,"태산,대진.정광아파트",900,1991-06-29
인천광역시 연수구 선학동 347,선학동시영,1300,1993-06-19
인천광역시 연수구 선학동 350,금호타운,540,1992-11-25
인천광역시 연수구 선학동 352,뉴서울,720,1992-10-10
인천광역시 연수구 선학동 353,아주,390,1992-05-20
인천광역시 연수구 선학동 353,대동,390,1992-05-20
인천광역시 연수구 선학동 387,윤성,423,1995-08-04
인천광역시 연수구 선학동 442,한화포레나인천연수,767,2023-09-22
인천광역시 연수구 연수동 532,경남,620,1993-05-24
인천광역시 연수구 연수동 532,대림,640,1993-05-25
인천광역시 연수구 연수동 533,연수주공2차,960,1992-06-22
인천광역시 연수구 연수동 533,연수주공1차,1654,1992-06-22
인천광역시 연수구 연수동 534,유천,788,1993-09-15
인천광역시 연수구 연수동 535-2,태경,220,1992-07-09
인천광역시 연수구 연수동 535-2,우주,230,1992-06-19
인천광역시 연수구 연수동 535-2,인향,220,1992-06-04
인천광역시 연수구 연수동 536,동남,420,1994-02-04
인천광역시 연수구 연수동 537,효정,312,1993-12-29
인천광역시 연수구 연수동 538,성일,414,1994-10-15
인천광역시 연수구 연수동 540,문남마을,400,1994-12-13
인천광역시 연수구 연수동 576,태산,420,1993-12-03
인천광역시 연수구 연수동 577,영남,622,1992-12-28
인천광역시 연수구 연수동 578-1,세경,567,1997-08-08
인천광역시 연수구 연수동 578-2,주공3,1170,1993-10-28
인천광역시 연수구 연수동 579,대우1,390,1992-06-27
인천광역시 연수구 연수동 582,풍림1,769,1992-03-27
인천광역시 연수구 연수동 582-2,연수2시영,1200,1993-05-17
인천광역시 연수구 연수동 582-2,"승기마을,연수1차시영",1370,1992-05-25
인천광역시 연수구 연수동 582-2,연수1차시영(영구임대),1000,1992-05-27
인천광역시 연수구 연수동 633,대동,768,1993-11-13
인천광역시 연수구 연수동 634,우성2,2044,1994-02-27
인천광역시 연수구 연수동 635,우성1,1088,1994-09-02
인천광역시 연수구 청학동 448-1,삼용,300,1994-03-12
인천광역시 연수구 청학동 449,성호샤인힐스,488,1993-11-30
인천광역시 연수구 청학동 450,서해,294,1993-06-25
인천광역시 연수구 청학동 451,시대,916,1994-10-20
인천광역시 연수구 청학동 454,용담마을,500,1994-09-14
인천광역시 연수구 청학동 455,하나타운1,724,1995-03-30
인천광역시 연수구 청학동 545-1,현대,420,2000-06-19
인천광역시 연수구 청학동 568-1,청학,330,1993-10-18
인천광역시 연수구 동춘동 917,롯데,320,1993-08-30
인천광역시 연수구 동춘동 919,하나타운2,264,1994-09-29
인천광역시 연수구 동춘동 920-1,대우3,344,1993-12-11
인천광역시 연수구 동춘동 921,동춘마을,930,1994-07-13
인천광역시 연수구 동춘동 922,풍림3,440,1993-12-17
인천광역시 연수구 동춘동 923,"연수타운(금호,동아)",1056,1993-04-19
인천광역시 연수구 동춘동 924,대림,350,1993-08-24
인천광역시 연수구 동춘동 924,현대,350,1993-08-21
인천광역시 연수구 동춘동 924-3,자이(xi),540,1993-11-25
인천광역시 연수구 동춘동 924-3,래미안,540,1993-08-16
인천광역시 연수구 동춘동 925,한양1,1020,1994-12-29
인천광역시 연수구 동춘동 925-7,연수대우.삼환,1776,1994-05-30
인천광역시 연수구 동춘동 928,현대1,1040,1993-01-21
인천광역시 연수구 동춘동 929,풍림2,1200,1993-06-28
인천광역시 연수구 동춘동 931,무지개마을,1068,1995-08-26
인천광역시 연수구 동춘동 932,한양2,1440,1994-06-29
인천광역시 연수구 동춘동 938,건영,970,1994-04-27
인천광역시 연수구 동춘동 940,대림3,408,1993-07-10
인천광역시 연수구 동춘동 941,대동,336,1994-05-13
인천광역시 연수구 동춘동 942,아주,348,1994-04-27
인천광역시 연수구 동춘동 943,동남,1350,1994-12-08
인천광역시 연수구 동춘동 1131,연수서해그랑블에듀파크,641,2024-03-28
인천광역시 연수구 동춘동 1131-1,연수서해그랑블1단지,1043,2017-12-29
인천광역시 연수구 동춘동 1144,인천연수서해그랑블3단지,251,2019-09-25
인천광역시 연수구 동춘동 1149,서해그랑블포레스트,334,2019-04-17
인천광역시 연수구 동춘동 가-,송도파크자이,1023,2019-05-10
인천광역시 연수구 동춘동 가-,송도동일하이빌파크포레,281,2019-03-28
인천광역시 연수구 동춘동 가-,송도파크레인동일하이빌,1180,2019-03-29
인천광역시 연수구 송도동 2-7,송도풍림아이원1단지,1024,2005-07-18
인천광역시 연수구 송도동 2-9,송도풍림아이원4단지,504,2005-03-28
인천광역시 연수구 송도동 2-12,성지리벨루스,626,2006-06-14
인천광역시 연수구 송도동 3-10,송도풍림아이원2단지,958,2005-07-18
인천광역시 연수구 송도동 3-13,송도풍림아이원3단지,504,2005-07-18
인천광역시 연수구 송도동 3-38,송도금호어울림,510,2005-06-24
인천광역시 연수구 송도동 3-40,송도풍림아이원6단지,344,2005-03-28
인천광역시 연수구 송도동 3-44,송도한진해모로,661,2006-05-12
인천광역시 연수구 송도동 3-46,아이파크송도,616,2005-08-26
인천광역시 연수구 송도동 4-1,더샵퍼스트월드,1596,2009-01-22
인천광역시 연수구 송도동 9-5,송도웰카운티4단지,465,2010-02-12
인천광역시 연수구 송도동 9-6,송도웰카운티3단지,515,2010-03-26
인천광역시 연수구 송도동 9-29,송도웰카운티2단지,798,2007-08-24
인천광역시 연수구 송도동 9-31,송도웰카운티1단지,980,2008-02-01
인천광역시 연수구 송도동 10-30,송도SK뷰센트럴,299,2020-10-15
인천광역시 연수구 송도동 15-2,더샵엑스포6단지,356,2009-09-30
인천광역시 연수구 송도동 16-4,더샵엑스포10단지,461,2009-09-30
인천광역시 연수구 송도동 16-6,더샵엑스포9단지,520,2009-09-30
인천광역시 연수구 송도동 16-7,송도더샵그린애비뉴8단지,540,2012-06-11
인천광역시 연수구 송도동 16-8,송도더샵그린애비뉴7단지,474,2012-06-11
인천광역시 연수구 송도동 17-3,더샵그린워크2차,665,2014-08-29
인천광역시 연수구 송도동 17-5,송도더샵하버뷰(D13),553,2011-04-22
인천광역시 연수구 송도동 18-5,송도더샵그린워크3차(17-1블럭),358,2015-10-07
인천광역시 연수구 송도동 18-6,더샵그린워크1차,736,2014-08-29
인천광역시 연수구 송도동 18-7,송도더샵하버뷰(D15),548,2012-04-23
인천광역시 연수구 송도동 18-10,송도더샵하버뷰(D14),292,2011-04-22
인천광역시 연수구 송도동 19-3,송도더샵그린워크3차(18-1블럭),780,2015-10-07
인천광역시 연수구 송도동 19-5,송도푸르지오하버뷰,593,2011-03-29
인천광역시 연수구 송도동 19-6,송도자이하버뷰1단지,546,2011-02-23
인천광역시 연수구 송도동 19-7,송도자이하버뷰2단지,523,2011-02-23
인천광역시 연수구 송도동 20-4,송도아이비원,336,2024-07-30
인천광역시 연수구 송도동 23-3,더샵센트럴파크1,729,2010-11-17
인천광역시 연수구 송도동 23-4,더샵센트럴파크2,632,2011-08-25
인천광역시 연수구 송도동 23-5,송도센트럴파크푸르지오,551,2015-06-26
인천광역시 연수구 송도동 30-1,디에트르송도시그니처뷰,578,2023-09-26
인천광역시 연수구 송도동 30-2,힐스테이트송도더스카이,1205,2024-05-29
인천광역시 연수구 송도동 33-1,송도아트윈푸르지오,999,2015-08-27
인천광역시 연수구 송도동 92,더샵송도센트럴파크Ⅲ,351,2022-12-30
인천광역시 연수구 송도동 100,송도더샵퍼스트파크F13-1BL,856,2017-11-17
인천광역시 연수구 송도동 101,송도더샵퍼스트파크F14BL,869,2017-11-17
인천광역시 연수구 송도동 102,송도더샵퍼스트파크F15BL,872,2017-11-17
인천광역시 연수구 송도동 103,송도더샵파크애비뉴,668,2018-11-22
인천광역시 연수구 송도동 105-2,더샵송도센터니얼,342,2023-04-10
인천광역시 연수구 송도동 109,더샵송도프라임뷰20BL,662,2022-07-29
인천광역시 연수구 송도동 110,송도더샵마스터뷰21BL,692,2015-07-29
인천광역시 연수구 송도동 111,송도더샵마스터뷰22BL,691,2015-07-29
인천광역시 연수구 송도동 112,송도더샵마스터뷰23-1BL,478,2015-07-29
인천광역시 연수구 송도동 149,롯데캐슬캠퍼스타운,1230,2016-03-10
인천광역시 연수구 송도동 150,롯데캐슬,643,2012-10-25
인천광역시 연수구 송도동 155,송도아메리칸타운아이파크,830,2018-10-26
인천광역시 연수구 송도동 157,해모로월드뷰,638,2012-12-03
인천광역시 연수구 송도동 161-3,송도캐슬&해모로,1439,2013-09-30
인천광역시 연수구 송도동 190-2,글로벌캠퍼스푸르지오,1703,2013-10-15
인천광역시 연수구 송도동 190-4,송도더샵센트럴시티,2610,2018-09-21
인천광역시 연수구 송도동 191-2,송도글로벌파크베르디움,1153,2017-11-01
인천광역시 연수구 송도동 191-4,송도에듀포레푸르지오,1406,2016-08-25
인천광역시 연수구 송도동 192-1,더샵그린스퀘어,1516,2014-03-11
인천광역시 연수구 송도동 192-8,베르디움더퍼스트,1834,2017-02-01
인천광역시 연수구 송도동 308-1,더샵송도마리나베이,3100,2020-07-13
인천광역시 연수구 송도동 310-1,송도오션파크베르디움,1530,2020-02-14
인천광역시 연수구 송도동 311,랜드마크시티센트럴더샵,2230,2020-07-16
인천광역시 연수구 송도동 312-1,호반써밋송도,1820,2023-02-14
인천광역시 연수구 송도동 315-1,송도SKVIEW,2100,2019-07-09
인천광역시 연수구 송도동 319-1,e편한세상송도,2708,2018-11-06
인천광역시 연수구 송도동 396-7,송도자이크리스탈오션,1503,2024-06-27
인천광역시 연수구 송도동 396-11,송도자이더스타,1533,2024-12-27
인천광역시 연수구 송도동 397-5,힐스테이트레이크송도3차,1100,2023-10-24
인천광역시 연수구 송도동 397-8,힐스테이트레이크송도2차,889,2020-01-31
인천광역시 연수구 송도동 397-11,힐스테이트레이크송도1차,886,2019-06-27
인천광역시 남동구 구월동 20,구월힐스테이트3단지,474,2007-08-07
인천광역시 남동구 구월동 23,구월힐스테이트1단지,5076,2007-08-01
인천광역시 남동구 구월동 24,롯데캐슬골드,3384,2007-08-01
인천광역시 남동구 구월동 258,팬더,946,1991-12-26
인천광역시 남동구 구월동 260-5,동아(260-5),486,1991-10-18
인천광역시 남동구 구월동 342-1,신세계,700,1980-05-20
인천광역시 남동구 구월동 1131-18,구월프라움아트,244,2016-07-27
인천광역시 남동구 구월동 1135-15,구월프라움시티,240,2015-06-30
인천광역시 남동구 구월동 1485,구월아시아드선수촌2단지,636,2015-06-02
인천광역시 남동구 구월동 1486,구월아시아드선수촌1단지,511,2015-06-02
인천광역시 남동구 구월동 1508,구월유승한내들퍼스티지,860,2016-12-01
인천광역시 남동구 구월동 1510,구월아시아드선수촌센트럴자이,850,2015-06-02
인천광역시 남동구 구월동 1513,구월아시아드선수촌5단지,782,2015-06-02
인천광역시 남동구 구월동 1524,구월아시아드선수촌6단지,602,2015-06-02
인천광역시 남동구 구월동 1551,구월아시아드선수촌7단지,1109,2023-02-03
인천광역시 남동구 구월동 1554,구월아시아드선수촌8단지,768,2015-06-02
인천광역시 남동구 구월동 1608,신영구월지웰시티푸르지오,376,2020-12-30
인천광역시 남동구 구월동 1636,한화포레나인천구월,1115,2023-11-29
인천광역시 남동구 간석동 32-5,신한,216,1990-04-13
인천광역시 남동구 간석동 407,다정한마을서해그랑블,270,2004-08-27
인천광역시 남동구 간석동 495-5,금호,630,1987-09-05
인천광역시 남동구 간석동 501,극동,760,1989-05-31
인천광역시 남동구 간석동 519-4,한진,600,1980-11-29
인천광역시 남동구 간석동 616-6,간석한신더휴,643,2019-01-25
인천광역시 남동구 간석동 616-7,간석신동아파밀리에명품,715,2007-08-30
인천광역시 남동구 간석동 616-13,현광,240,1990-05-26
인천광역시 남동구 간석동 617-31,영남,282,1988-10-07
인천광역시 남동구 간석동 774-8,팬더,294,1988-06-03
인천광역시 남동구 간석동 893,현대(893-0),390,1991-08-28
인천광역시 남동구 간석동 893-1,우성,1050,1990-07-13
인천광역시 남동구 간석동 900-153,현대홈타운(900-153),649,2003-04-15
인천광역시 남동구 간석동 917-2,두진,354,1994-12-08
인천광역시 남동구 간석동 918-5,"태화아파트101동,102동,103동,105동",464,1994-10-13
인천광역시 남동구 간석동 935,풍림아이원,922,2004-09-18
인천광역시 남동구 간석동 938-1,어울림마을,1733,2005-10-27
인천광역시 남동구 간석동 939-1,간석래미안자이,2432,2008-10-17
인천광역시 남동구 간석동 940,인천간석휴먼시아1단지,587,2014-10-15
인천광역시 남동구 간석동 941,인천간석휴먼시아2단지,792,2014-10-20
인천광역시 남동구 만수동 2-21,신한,240,1988-11-28
인천광역시 남동구 만수동 5-6,성신(5-373외),360,1985-11-13
인천광역시 남동구 만수동 5-318,아주(5-318),210,1988-04-23
인천광역시 남동구 만수동 5-326,대동(5-328),276,1987-11-14
인천광역시 남동구 만수동 5-397,대동(5-397),432,1989-10-21
인천광역시 남동구 만수동 5-426,신동아,750,1990-10-20
인천광역시 남동구 만수동 13,만수주공4단지,2220,1987-07-31
인천광역시 남동구 만수동 17,만수주공5단지,900,1987-09-12
인천광역시 남동구 만수동 20,만수주공6단지,800,1986-10-27
인천광역시 남동구 만수동 29,만수주공1단지,390,1985-10-31
인천광역시 남동구 만수동 29,만수주공2단지,1920,1987-07-10
인천광역시 남동구 만수동 46,만수주공3단지,390,1986-10-27
인천광역시 남동구 만수동 844-1,대성유니드별빛마을,364,2006-09-04
인천광역시 남동구 만수동 905,효성상아,720,1985-06-10
인천광역시 남동구 만수동 966,삼환2단지,660,1990-10-26
인천광역시 남동구 만수동 983-1,삼환1단지,660,1989-10-04
인천광역시 남동구 만수동 1005,주공8단지,1440,1989-10-07
인천광역시 남동구 만수동 1005,만수주공아파트7단지,1466,1989-10-07
인천광역시 남동구 만수동 1014,남동아파트,770,1992-10-13
인천광역시 남동구 만수동 1018,대동,560,1992-04-14
인천광역시 남동구 만수동 1036,진흥(1036),300,1991-10-31
인천광역시 남동구 만수동 1037,현대,560,1992-10-08
인천광역시 남동구 만수동 1038,삼익세라믹,256,1992-08-31
인천광역시 남동구 만수동 1042,광명아파트,870,1991-11-29
인천광역시 남동구 만수동 1043,만수주공10단지,420,1994-05-21
인천광역시 남동구 만수동 1043,만수9단지공공임대,630,1994-05-21
인천광역시 남동구 만수동 1044,만수뉴서울아파트,1234,1992-07-09
인천광역시 남동구 만수동 1045,한국,608,1992-04-22
인천광역시 남동구 만수동 1048,금호타운,414,1992-10-05
인천광역시 남동구 만수동 1049,담방마을,1100,1994-05-14
인천광역시 남동구 만수동 1086-1,이삭(1086-1),299,2000-05-04
인천광역시 남동구 만수동 1113,주공11단지,902,1997-11-21
인천광역시 남동구 만수동 1114,벽산,2073,2000-05-31
인천광역시 남동구 만수동 1115-1,포레시안,3208,2011-05-20
인천광역시 남동구 만수동 1116-1,향촌휴먼시아2단지,438,2012-05-16
인천광역시 남동구 만수동 1123,하우스토리만수,795,2020-07-27
인천광역시 남동구 장수동 806-3,주공임대(806-3),795,2005-07-11
인천광역시 남동구 서창동 537,태평1차,435,1995-11-09
인천광역시 남동구 서창동 538,태평2차,577,1997-12-23
인천광역시 남동구 서창동 540,서해그랑블,523,2008-05-30
인천광역시 남동구 서창동 545,현대모닝사이드,630,2002-11-02
인천광역시 남동구 서창동 560-2,임광그대가,666,2007-01-30
인천광역시 남동구 서창동 561-1,서창자이,500,2008-12-19
인천광역시 남동구 서창동 636,인천서창엘에이치1단지,2186,2015-02-16
인천광역시 남동구 서창동 639,서창베니엔,742,2016-03-09
인천광역시 남동구 서창동 640,청광플러스원아파트,582,2017-09-14
인천광역시 남동구 서창동 676,더포레스트,1228,2017-12-15
인천광역시 남동구 서창동 679,인천서창엘에이치15단지,678,2017-12-08
인천광역시 남동구 서창동 682,서창센트럴푸르지오,1160,2018-01-19
인천광역시 남동구 서창동 685,이편한세상서창,835,2017-06-21
인천광역시 남동구 서창동 692,서창센트라스아파트,566,2014-03-12
인천광역시 남동구 서창동 695,에코에비뉴,855,2014-07-22
인천광역시 남동구 서창동 699,서창퍼스트뷰(7단지),1196,2012-06-14
인천광역시 남동구 서창동 702,호반베르디움,600,2017-07-04
인천광역시 남동구 서창동 715,서창베라체아파트(11단지),938,2012-03-14
인천광역시 남동구 서창동 717,인천서창엘에이치12단지,1534,2014-04-01
인천광역시 남동구 서창동 744,인천서창엘에에치14단지,950,2020-01-21
인천광역시 남동구 서창동 745,인천서창꿈에그린,1212,2019-02-26
인천광역시 남동구 남촌동 320-2,남촌풍림1차,421,1998-03-23
인천광역시 남동구 남촌동 391-3,남촌풍림2차,319,2000-07-22
인천광역시 남동구 남촌동 649,남촌풍림3차,735,1999-12-01
인천광역시 남동구 도림동 629-1,주공그린빌1차,714,2003-06-10
인천광역시 남동구 도림동 630-1,주공그린빌2차,642,2003-10-06
인천광역시 남동구 도림동 651-1,도림아이파크,349,2008-06-26
인천광역시 남동구 도림동 654-2,벽산블루밍,342,2008-01-29
인천광역시 남동구 논현동 66-24,유호엔시티101-103동,383,2013-05-09
인천광역시 남동구 논현동 111-7,이안논현오션파크,294,2024-06-21
인천광역시 남동구 논현동 549,한라,288,1996-02-29
인천광역시 남동구 논현동 563-2,동보,278,1999-06-30
인천광역시 남동구 논현동 563-3,주공2단지,1252,1998-08-25
인천광역시 남동구 논현동 564-1,주공1단지,1190,1998-08-10
인천광역시 남동구 논현동 577,풍림,1517,2000-03-25
인천광역시 남동구 논현동 580-1,논현파크포레,872,2009-06-09
인천광역시 남동구 논현동 581-1,논현엘에이치15단지,260,2020-12-11
인천광역시 남동구 논현동 588-2,인천논현엘에이치16단지,238,2022-07-21
인천광역시 남동구 논현동 599-1,주공14단지(등대마을),1800,2006-08-04
인천광역시 남동구 논현동 600-1,주공12단지(산뒤마을),801,2005-11-09
인천광역시 남동구 논현동 600-9,주공13단지(푸르내마을),785,2006-04-14
인천광역시 남동구 논현동 601-1,별빛마을웰카운티(10단지),888,2008-07-16
인천광역시 남동구 논현동 602-1,논현단풍마을트리플에듀,898,2006-07-13
인천광역시 남동구 논현동 603-1,주공뜨란채8단지,833,2006-07-12
인천광역시 남동구 논현동 604-1,냇마을신영지웰(9단지),985,2007-10-27
인천광역시 남동구 논현동 618-1,논현신일해피트리,828,2007-05-14
인천광역시 남동구 논현동 633-1,논현휴먼시아달맞이마을(5단지),1522,2007-03-30
인천광역시 남동구 논현동 634-1,어진마을한화꿈에그린(6단지),982,2007-12-24
인천광역시 남동구 논현동 635-1,논현휴먼시아하늘마을(3단지),2148,2008-05-20
인천광역시 남동구 논현동 635-3,논현하늘마을엘에이치4단지,412,2018-12-14
인천광역시 남동구 논현동 643-1,논현휴먼시아범마을(2단지),1278,2008-06-19
인천광역시 남동구 논현동 732-1,논현힐스테이트,594,2010-10-22
인천광역시 남동구 논현동 740-1,소래휴먼시아1단지,882,2011-04-12
인천광역시 남동구 논현동 740-2,소래휴먼시아3단지,2026,2010-11-30
인천광역시 남동구 논현동 749-1,논현센트럴뷰,820,2014-11-14
인천광역시 남동구 논현동 751-1,에코메트로3차더타워,644,2013-11-01
인천광역시 남동구 논현동 755-1,에코메트로5,1052,2010-12-24
인천광역시 남동구 논현동 755-4,에코메트로12,1298,2009-07-29
인천광역시 남동구 논현동 756-1,에코메트로6,960,2010-12-24
인천광역시 남동구 논현동 757-1,에코메트로7,848,2010-12-24
인천광역시 남동구 논현동 764-4,논현유승한내들,376,2018-10-01
인천광역시 남동구 논현동 766-1,에코메트로9,810,2011-02-18
인천광역시 남동구 논현동 773-1,에코메트로10,556,2010-12-24
인천광역시 남동구 논현동 774-1,에코메트로11,1622,2009-07-29
인천광역시 남동구 논현동 810,논현푸르지오더퍼스트,754,2019-10-17
인천광역시 부평구 부평동 64-20,대림1차,1470,1989-12-07
인천광역시 부평구 부평동 65-7,욱일,780,1990-10-19
인천광역시 부평구 부평동 65-115,대우,308,1998-08-28
인천광역시 부평구 부평동 70-5,동아(1차),2475,1986-09-17
인천광역시 부평구 부평동 70-78,창보,202,1999-10-30
인천광역시 부평구 부평동 70-123,동아(2차),2128,1995-05-09
인천광역시 부평구 부평동 507-2,M-City,210,2014-01-20
인천광역시 부평구 부평동 534-96,두산위브,280,2005-02-25
인천광역시 부평구 부평동 756-421,신성미소지움아파트(101~106동),298,2005-06-16
인천광역시 부평구 부평동 937,부평LH1단지(국민임대),297,2012-07-13
인천광역시 부평구 부평동 938,부평센트럴포레스트,704,2012-07-13
인천광역시 부평구 부평동 946,래미안부평(임대),236,2014-09-29
인천광역시 부평구 부평동 947,래미안부평,1145,2014-09-29
인천광역시 부평구 부평동 956,부평역한라비발디트레비앙,385,2023-07-17
인천광역시 부평구 부평동 962,부평SKVIEW해모로,1559,2023-02-24
인천광역시 부평구 부평동 982,중앙하이츠프리미어부평,413,2023-07-24
인천광역시 부평구 부평동 995,부평역화성파크드림,541,2020-11-30
인천광역시 부평구 부평동 1002,인천부평우미린더센트럴,438,2023-07-24
인천광역시 부평구 십정동 182-95,대주파크빌,312,2001-11-24
인천광역시 부평구 십정동 187-22,동보,207,1998-07-22
인천광역시 부평구 십정동 216,백영,206,1997-05-06
인천광역시 부평구 십정동 607,동암신동아,1690,2000-09-09
인천광역시 부평구 십정동 608-4,십정뜨란채1단지,920,2005-07-20
인천광역시 부평구 십정동 609,부평금호어울림,290,2008-06-19
인천광역시 부평구 십정동 617,브라운스톤백운,261,2014-06-25
인천광역시 부평구 십정동 629,서희스타힐스부평센트럴,571,2021-04-30
인천광역시 부평구 십정동 630,더샵부평센트럴시티,5678,2022-05-02
인천광역시 부평구 십정동 642,힐스테이트부평,1409,2023-06-07
인천광역시 부평구 산곡동 38-26,진흥,234,1988-05-14
인천광역시 부평구 산곡동 82-36,동원(82-36),348,1989-05-16
인천광역시 부평구 산곡동 91-2,부평IPARK,256,2020-10-15
인천광역시 부평구 산곡동 124-1,현대(124-1),1161,1993-11-20
인천광역시 부평구 산곡동 124-23,한화2단지,1280,1999-11-02
인천광역시 부평구 산곡동 124-23,한화1단지,744,1997-03-11
인천광역시 부평구 산곡동 137-3,한신(137-3),234,1985-07-10
인천광역시 부평구 산곡동 137-8,한신(137-8),308,1986-10-30
인천광역시 부평구 산곡동 142-3,경남1차,810,1990-12-22
인천광역시 부평구 산곡동 145,경남3차,916,1992-11-21
인천광역시 부평구 산곡동 155-1,한양(155-1),320,1992-08-28
인천광역시 부평구 산곡동 179-92,현대(179-92),384,1999-11-13
인천광역시 부평구 산곡동 180-116,삼보,295,1985-11-06
인천광역시 부평구 산곡동 180-329,재원,210,1984-12-24
인천광역시 부평구 산곡동 182,한양(182),720,1984-11-15
인천광역시 부평구 산곡동 185-17,한양(185-17),208,1993-09-24
인천광역시 부평구 산곡동 191-3,무지개,330,1991-01-19
인천광역시 부평구 산곡동 222,한신휴,703,2003-01-25
인천광역시 부평구 산곡동 233-26,태화프리상뜨,335,2004-09-30
인천광역시 부평구 산곡동 251-2,우성5차,299,1996-12-19
인천광역시 부평구 산곡동 255-1,뉴서울아파트,565,1989-11-03
인천광역시 부평구 산곡동 261-8,경남5차,308,1992-02-28
인천광역시 부평구 산곡동 264-1,뉴서울(264-1),498,1991-07-27
인천광역시 부평구 산곡동 274,경남2차,690,1991-07-12
인천광역시 부평구 산곡동 274-5,경남4차,776,1994-05-25
인천광역시 부평구 산곡동 294-35,우성1차2차(294-35),1380,1989-08-28
인천광역시 부평구 산곡동 294-35,우성3차(294-35),600,1990-03-30
인천광역시 부평구 산곡동 306-3,우성4차,494,1991-01-19
인천광역시 부평구 산곡동 307,현대1차,2204,1985-09-30
인천광역시 부평구 산곡동 311-126,현대2차,1496,1987-05-21
인천광역시 부평구 산곡동 370-399,현대3차,1200,1989-09-30
인천광역시 부평구 산곡동 507,금호이수마운트밸리,1365,2007-11-23
인천광역시 부평구 산곡동 510,부평산곡푸르지오,765,2011-10-25
인천광역시 부평구 산곡동 518,부평샬레아넬리스,266,2019-05-08
인천광역시 부평구 산곡동 519,쌍용더플래티넘부평,811,2022-08-25
인천광역시 부평구 산곡동 524,부평신일해피트리더루츠,1116,2022-07-01
인천광역시 부평구 산곡동 534,부평두산위브더파크,799,2022-11-29
인천광역시 부평구 산곡동 550,부평캐슬&더샵퍼스트,1623,2024-10-18
인천광역시 부평구 청천동 176,청천푸르지오,2257,1998-06-20
인천광역시 부평구 청천동 192,우림필유(192-0),209,2005-09-27
인천광역시 부평구 청천동 200,"부평1,2차금호타운",2539,1998-02-06
인천광역시 부평구 청천동 236,대진,340,1985-05-29
인천광역시 부평구 청천동 236-5,미도6,222,1988-02-02
인천광역시 부평구 청천동 259,쌍용,510,1990-09-22
인천광역시 부평구 청천동 259-5,미도7,384,1989-02-27
인천광역시 부평구 청천동 300,삼익,375,1986-11-20
인천광역시 부평구 청천동 377-9,인향,266,1994-01-10
인천광역시 부평구 청천동 390-5,무지개,220,1993-03-26
인천광역시 부평구 청천동 399-6,광명,418,1995-10-24
인천광역시 부평구 청천동 453,청천우민늘푸른아파트,341,2020-10-06
인천광역시 부평구 삼산동 40-1,현대,330,1995-05-17
인천광역시 부평구 삼산동 56-3,삼보,630,1990-11-20
인천광역시 부평구 삼산동 60-6,태산,216,1989-10-28
인천광역시 부평구 삼산동 157,삼산마을주공(106동),294,1991-08-26
인천광역시 부평구 삼산동 157,삼산마을주공1단지(107-108동),208,2017-01-19
